1,2,3,4,5,6,7
BAYRAKLI'DA KOMPLE SATILIK BİNA KUPON FİYAT...,2,1,Yok,70.0,1.900.000 TL,
Akay'dan Yeşilova'da Satılık Full Tadilatlı Lüks Komple Bina,4,1,Doğalgaz (Kombi),110.0,10.750.000 TL,
^^ACİL^^ Yatırımlık Sahibinden Ana Caddede Komple Satılık Bina,4,2,Yok,416.0,19.750.000 TL,
SELÇUK TARİHİ YARIMADA İÇİNDE KOMPLE SATILIK BİNA,3,3,Yerden Isıtma,1.5,31.500.000 TL,
GÜNEŞ GAYRİMENKUL'DEN KONAK KÜÇÜKADA MAH. SATILIK BİNA,2,1,Yok,150.0,1.500.000 TL,
Sahibinden Satılık #Fırsat,3,2,Doğalgaz (Kombi),350.0,4.650.000 TL,
"ERANİVA'DAN BORNOVA-ÜMİT MAHALLESİ'NDE SATILIK 2,5 KAT BİNA",2,1,Doğalgaz (Kombi),160.0,4.250.000 TL,
SATILIK 4 KATLI BİNA,4,1,Doğalgaz (Kombi),280.0,21.000.000 TL,
DİPLOMA GAYRİMENKUL' DEN KOMPLE VE TEK TEK SATILIK BİNA,4,1,Doğalgaz (Kombi),130.0,12.500.000 TL,
ERCİYES35'den SATILIK BİNA 4 AYRI DAIRE,5,1,Soba,90.0,2.650.000 TL,
Sahibinden Gültepede 3 katlı ev,3,1,Klima,85.0,2.950.000 TL,
ARTKEY DEN ÇAMKULEDE DENİZ MANZARALI 4 KATLI BİNA,4,1,Soba,128.0,6.250.000 TL,
KOMPLE SATILIK ÜÇ KATLI DENİZ MANZARALI BİNA,3,1,Doğalgaz (Kombi),218.0,9.000.000 TL,
Çiğli Merkezde Satılık 2 Katlı Bina Köşe Konumlu,2,1,Doğalgaz (Kombi),220.0,6.250.000 TL,
KARADAĞ GAYRİMENKULDEN KOMPLE SATILIK BİNA VE DAİRELER,4,1,Soba,400.0,7.750.000 TL,
Alsancak Saint Joseph Yakını Komple Satılık Bina,4,1,Klima,349.0,22.000.000 TL,
