1,2,3,4,5,6
5,1.0,0,55,7000000,34
3,1.0,1,183,5350000,34
5,1.0,0,500,14000000,34
4,1.0,0,125,6950000,34
2,3.0,0,269,16000000,34
3,1.0,0,100,12000000,34
2,4.0,0,1,120000000,34
3,1.0,5,100,20250000,34
4,1.0,0,455,15500000,34
5,2.0,0,500,45000000,34
6,1.0,2,400,185000000,34
4,2.0,1,266,30000000,34
4,1.0,0,1,53000000,34
4,1.0,0,70,13650000,34
3,1.0,1,52,14750000,34
3,1.0,0,64,12500000,34
3,1.0,0,128,6750000,34
4,1.0,0,870,47500000,34
4,1.0,0,230,37500000,34
4,1.0,0,340,15000000,34
4,1.0,6,50,2250000,34
3,1.0,0,140,16250000,34
6,1.0,0,660,75000000,34
6,2.0,0,1,24500000,34
6,1.0,2,900,75000000,34
5,2.0,0,450,28000000,34
7,2.0,0,450,29500000,34
2,1.0,0,181,32000000,34
4,2.0,0,112,31500000,34
5,1.0,0,204,18000000,34
4,2.0,0,532,19480000,34
2,1.0,0,250,13000000,34
7,1.0,0,50,20000000,34
5,1.0,0,800,35000000,34
4,1.0,0,120,50000000,34
4,2.0,0,266,25000000,34
6,1.0,0,1,24000000,34
3,1.0,0,339,12000000,34
4,1.0,0,300,8500000,34
3,1.0,0,464,30000000,34
6,1.0,0,600,20000000,34
3,1.0,0,180,12000000,34
6,1.0,0,489,73500000,34
9,,1,278,200000000,34
5,1.0,0,140,9500000,34
9,4.0,2,3,119000000,34
4,1.0,0,100,14000000,34
5,1.0,2,1,70000000,34
5,1.0,0,243,17000000,34
3,1.0,0,250,5700000,34
6,2.0,0,413,28000000,34
5,1.0,0,275,31700000,34
4,1.0,0,300,8800000,34
5,1.0,0,650,11000000,34
4,1.0,8,320,14000000,34
3,2.0,0,130,160000000,34
5,1.0,0,116,9250000,34
9,1.0,0,1,87000000,34
4,1.0,0,300,13650000,34
5,,2,1,40500000,34
5,1.0,0,820,30000000,34
4,1.0,0,480,16500000,34
4,4.0,0,348,12500000,34
3,2.0,0,230,15000000,34
7,3.0,0,2,450000000,34
5,1.0,0,210,31000000,34
7,1.0,0,2,79500000,34
5,1.0,0,95,5945000,34
4,1.0,0,300,18500000,34
6,1.0,1,1,45000000,34
5,1.0,0,208,20500000,34
5,2.0,0,1,37500000,34
